Run
Judge
Topic Num,TweetID,Tweet
MB001,34952194402811904," Save BBC World Service from Savage Cuts http://www.petitionbuzz.com/petitions/savews","=HYPERLINK(""http://www.petitionbuzz.com/petitions/savews"",""LINK"")"
MB001,34949851661729792," BBC News - Charles Taylor lawyer storms out of war crimes trial http://www.bbc.co.uk/news/world-africa-12389550","=HYPERLINK(""http://www.bbc.co.uk/news/world-africa-12389550"",""LINK"")"
MB001,34949728642924544," @Markfergusonuk is there a link to the BBC news piece?",
MB001,34946671993430016," Jeff Jarvis on BBC World Business News mentions Yahoo! and follows with "may it soon rest in peace." lol! Also, good morning!",
MB001,34939203464871936," BBC News - Pirates in Indian Ocean seize Italian oil tanker http://www.bbc.co.uk/news/world-africa-12390068","=HYPERLINK(""http://www.bbc.co.uk/news/world-africa-12390068"",""LINK"")"
MB001,34927223500709888," RT @cardiffian_news: Cardiff against the cuts, today at 11am http://cardiffian.jomec.co.uk/article/cardiff-against-cuts","=HYPERLINK(""http://cardiffian.jomec.co.uk/article/cardiff-against-cuts"",""LINK"")"
MB001,34924859251228672," Egypt unrest cuts fuel lifeline to Gaza | World news | The Guardian: http://bit.ly/dMs9p4 #gaza #gaza2","=HYPERLINK(""http://bit.ly/dMs9p4"",""LINK"")"
MB001,34917074212102144," @Ghonim and for France too as BBC in france ;-)",
MB001,34893516719001600," Off to Derry for a staff meeting and cake!",
MB001,34874256722493440," @tiffydancebunny we are having lecture by taka staff! Ohmanzxz.",
MB001,34863742973911040," don't be a victim, let the world know how you were treated @Service Watchdog http://bit.ly/gVYrWD","=HYPERLINK(""http://bit.ly/gVYrWD"",""LINK"")"
MB001,34852269115580416," BBC News - Russian volcano erupts sending ash four kilometres high http://www.bbc.co.uk/news/world-europe-12385920","=HYPERLINK(""http://www.bbc.co.uk/news/world-europe-12385920"",""LINK"")"
MB001,34845886001455104," The denial of service Equis guy is JEWISH!!??!!!?? he really IS the most interesting man in the world! @KosherKitschen #bethaderej",
MB001,34843030611558400," BBC News - Egypt unrest: Bloggers take campaign to Tahrir Square http://www.bbc.co.uk/news/world-middle-east-12381295","=HYPERLINK(""http://www.bbc.co.uk/news/world-middle-east-12381295"",""LINK"")"
MB001,34837533682569216," Cry for cuts an stitches...not sluts an bitches...",
MB001,34835677711433728," RT @RickysFlower BBC News - Hunt for missing Swiss twins intensifies http://www.bbc.co.uk/news/world-europe-12385622 #MissingChildren :-(","=HYPERLINK(""http://www.bbc.co.uk/news/world-europe-12385622"",""LINK"")"
MB001,34809237582389248," BBC News - Egypt unrest: Public-sector pay rise but protests go on http://www.bbc.co.uk/news/world-middle-east-12387181 #tcot","=HYPERLINK(""http://www.bbc.co.uk/news/world-middle-east-12387181"",""LINK"")"
MB001,34809213972787200," http://www.pulist.net/animal-life-secrets-of-the-animal-world-revealed-american-museum-of-natural-history.html #courtship #rituals #bbc","=HYPERLINK(""http://www.pulist.net/animal-life-secrets-of-the-animal-world-revealed-american-museum-of-natural-history.html"",""LINK"")"
